# Abundance from Grevesse
Z  	A	Element	NumberFraction	logAbund	X
1	1.0079	H		1.00E+00	1.20E+01	7.04E-01
2	4.0026	He		1.00E-01	1.10E+01	2.80E-01
3	6.941	Li		1.26E-11	1.10E+00	6.10E-11
4	9.0122	Be		2.51E-11	1.40E+00	1.58E-10
5	10.811	B		5.01E-10	2.70E+00	3.78E-09
6	12.0107	C		3.31E-04	8.52E+00	2.78E-03
7	14.0067	N		8.32E-05	7.92E+00	8.14E-04
8	15.9994	O		6.76E-04	8.83E+00	7.56E-031
9	18.9984	F		3.16E-08	4.50E+00	4.18E-07
10	20.1797	Ne		1.20E-04	8.08E+00	1.69E-03
11	22.9897	Na		2.14E-06	6.33E+00	3.43E-05
12	24.305	Mg		3.80E-05	7.58E+00	6.45E-04
13	26.9815	Al		2.95E-06	6.47E+00	5.56E-05
14	28.0855	Si		3.55E-05	7.55E+00	6.96E-04
15	30.9738	P		2.82E-07	5.45E+00	6.10E-06
16	32.065	S		2.14E-05	7.33E+00	4.79E-04
17	35.453	Cl		3.16E-07	5.50E+00	7.83E-06
18	39.948	Ar		2.51E-06	6.40E+00	7.01E-05
19	39.0983	K		1.32E-07	5.12E+00	3.60E-06
20	40.078	Ca		2.29E-06	6.36E+00	6.41E-05
21	44.9559	Sc		1.48E-09	3.17E+00	4.64E-08
22	47.867	Ti		1.05E-07	5.02E+00	3.50E-06
23	50.9415	V		1.00E-08	4.00E+00	3.56E-07
24	51.9961	Cr		4.68E-07	5.67E+00	1.70E-05
25	54.938	Mn		2.45E-07	5.39E+00	9.42E-06
26	55.845	Fe		3.16E-05	7.50E+00	1.23E-03
27	58.9332	Co		8.32E-08	4.92E+00	3.42E-06
28	58.6934	Ni		1.78E-06	6.25E+00	7.29E-05
29	63.546	Cu		1.62E-08	4.21E+00	7.20E-07
30	65.39	Zn		3.98E-08	4.60E+00	1.82E-06
